O,D,DIFF
972,971,-287
972,975,-193
972,982,-296
972,985,-563
974,722,-105
974,961,-117
974,962,-57
974,963,-83
974,964,-56
974,966,-182
974,969,-263
974,970,-113
974,971,-614
974,975,-485
974,982,-460
974,985,-1163
975,711,-52
975,721,-62
975,722,-86
975,723,-77
975,961,-81
975,963,-59
975,965,-126
975,966,-146
975,967,-153
975,968,-202
975,969,-190
975,970,-82
975,971,-520
975,972,-194
975,974,-485
975,976,-422
975,979,-295
975,980,-262
975,981,-151
975,982,-422
975,983,-251
975,984,-316
975,985,-880
976,722,-76
976,961,-103
976,962,-70
976,963,-89
976,964,-71
976,966,-119
976,969,-254
976,970,-110
976,971,-543
976,975,-424
976,982,-211
976,985,-1179
977,953,-52
978,982,-295
978,985,-98
979,722,-118
979,961,-120
979,962,-53
979,963,-98
979,966,-184
979,969,-211
979,970,-111
979,971,-413
979,975,-295
979,982,-990
979,985,-842
980,722,-68
980,961,-67
980,963,-54
980,966,-107
980,969,-139
980,970,-67
980,971,-356
980,975,-262
980,982,-271
980,985,-720
981,966,-53
981,969,-91
981,971,-184
981,975,-151
981,982,-366
981,985,-387
982,722,-75
982,961,-120
982,962,-99
982,963,-102
982,964,-99
982,965,-144
982,966,-97
982,967,-239
982,968,-280
982,969,-268
982,970,-117
982,971,-533
982,972,-298
982,974,-464
982,975,-425
982,976,-212
982,978,-298
982,979,-995
982,980,-273
982,981,-368
982,983,-353
982,984,-659
982,985,-1177
982,986,-247
983,722,-84
983,961,-91
983,962,-55
983,963,-98
983,964,-53
983,966,-96
983,969,-164
983,970,-84
983,971,-348
983,975,-252
983,982,-352
983,985,-837
984,722,-82
984,961,-115
984,963,-73
984,966,-146
984,969,-213
984,970,-121
984,971,-460
984,975,-318
984,982,-655
984,985,-951
985,77,-95
985,670,-95
985,681,-70
985,684,-120
985,685,-119
985,704,-56
985,711,-191
985,714,-80
985,715,-86
985,717,-127
985,720,-70
985,721,-233
985,722,-293
985,723,-277
985,724,-50
985,725,-112
985,938,-101
985,961,-264
985,962,-77
985,963,-190
985,964,-70
985,965,-363
985,966,-484
985,967,-406
985,968,-628
985,969,-572
985,970,-246
985,971,-1233
985,972,-563
985,974,-1160
985,975,-879
985,976,-1172
985,978,-98
985,979,-840
985,980,-717
985,981,-385
985,982,-1168
985,983,-833
985,984,-947
985,986,-122
986,971,-70
986,982,-246
986,985,-122
